,US Customer Name,US Review title,US Ratings,Reviews
605,A. Morrow,Great product with over the top propaganda,5.0 out of 5 stars,"  Note: this is from  review I wrote in October. All of it remains true.  Updates at the bottomI got mine in the mail today and I like it quite a bit more than I thought I would... For starters, the packaging and trimmings are very classy. I know that doesn't matter in the long run, but for me it helps with first impressions. Next off the build quality is really incredible. The base has a low profile rubber ring around it that helps with traction when setting it down. The button on the front to open the lid is large enough and the actual clasp holding it closed is really beefy - actually it's connected to an armature that actuates two hooks - one on each side of the bottle. These, in turn, are held in place by TWO large leaf springs that really feel like they're here to last.What don't I like? Well I hate leaving reviews where I don't trash at least ONE thing about a product but I can't bring myself to do it. OH YA- and the mouth is big enough to put in the ice cubes from my ice maker! See? I actually put a positive comment in the trash section. Ouch.That said, I'm not a paid shill and I --- OH there's something I don't like. I think most of their website is horrible. Too much flash and ""Personal Sustainable Hydration"" is the most pompous tripe I've ever heard.That said, I think everyone should run out and buy one of these, unless you want to die from only having non sustainable hydration! (blech)----December '08 updates:Nothing really much to add... It is easy to keep clean. It will take every ice cube I've found with no problem.  It doesn't hold flavors or smells at all after you've given it a rinse.  The rubber gasket that presses on the mouth from the lid is positively bizarre - it BARELY touches the mouth, yet I've never had a leak that wasn't due to not closing it all the way - and even then only once.It still really looks as good as the day I bought it which is pretty impressive as most things that go into my bag (a Maxpedition Versapack) end up scratched within seconds.  The materials here really are nice.I'm buying 4 as gifts this year, so let that speak for itself."
606,Regina Schaffer,Five Stars,5.0 out of 5 stars,  Arrived quickly and is exactly what we wanted!
607,K. K. Bloom,"Great look, poor design",1.0 out of 5 stars,"  Loved the look of this bottle, but it broke within two months of buying it. It fell off of my desk onto a carpeted floor and the plastic around the hinge cracked. I called the company since it was so new. They want me to send it back (at my own expense) to decide if it is a manufacturer flaw. If it isn't then no money. I did not pay $30 for a water bottle to last me two months. That is INSANE. I also would expect better customer service from a company that does charge so much for a simple product."
608,Alex Hu,This water bottle is beautiful than I expected,5.0 out of 5 stars,  This water bottle is beautiful than I expected. Good sealing even I put the bottle in my backpack all day.
609,The Thinker,Unfortunate design defect,2.0 out of 5 stars,"  I bought this really cool water bottle so that I would be encouraged to drink more water every day, and my plan worked. Unfortunately, the locking mechanism has many small plastic parts, with each one being necessary to create a leak-proof closure. I dropped the bottle, a tiny plastic piece in the lid broke off, and now the bottle leaks if not fully upright. Kor offered to sell me a new bottle at a $15 discount, but I figure the design is just to iffy. I drop it, a tiny piece breaks and I'm out more money.Also, the sexy shape of the bottle (I really do love this bottle, if only it were sturdier!) doesn't  fit in my car's cup holder. If it didn't leak now that would be fine because I could set it on the passenger seat. My passenger seat has become a mini-lake since the locking mechanism broke."
610,Ingrid,"This bottle breaks. Every time I dropped it, ...",2.0 out of 5 stars,"  This bottle breaks.  Every time I dropped it, it broke, eventually just becoming a leaky mess.  I've had several of them.  Very disappointing."
611,Kitchenlife,We love these,5.0 out of 5 stars,  Love love love ....
612,Amazon Customer,Leaky,2.0 out of 5 stars,"  This water bottle leaks, so it is not good for travel. I like to use this at home."
613,Jess,Looks great...Win!  It leaks...FAIL!!,4.0 out of 5 stars,"  Day 1: Pulled it out of the box.  Marveled at its beauty.  Washed it.  Filled it up.  Laid it in the passenger seat of my car (it's too big to stand up in a cup holder).  Picked it up as soon as I saw the water puddle growing under the bottle!  It leaks!!!  I didn't even drop it like all the other one-star reviews claim.  Actually, I hadn't even had a chance to have one sip from it before I noticed it was leaking!FAIL!!But damn, it sure is pretty.UPDATE June 09, 2010:Upgraded review from 1 star to 4 stars.Replaced through Amazon & new bottle is leak-proof! YAY!Thank you for your offer, Paul."
614,A. Hilla,KOR ONE - By Far The Best Water Bottle!,5.0 out of 5 stars,"  I own both the Anthracite Black & Ice Blue variations of the KOR ONE.  This is by far the best water bottle that I've owned.  Some people complain of the size but you have to realize going into this that it's a 750ml Water Bottle... it's going to be big.  I mainly use it at work and/or around the house.When at work or out hiking people have commented and asked where I got it, everyone loves the wonderful design of this bottle."
615,Pam K-M,Two Stars,2.0 out of 5 stars,"  Whatever you do, don't drop it!!"
616,Susan J. Dunham,Too unstable and top-heavy,1.0 out of 5 stars,"  I've had this for about a month and liked it ok, though I did email the company to suggest that they create a double-walled version since I don't like it when my water bottles sweat, but that's beside the point.  Unfortunately, this bottle is too top-heavy when the lid is opened, and because the bottom is narrow and oval, it's not very sturdy.  It falls easily, and mine just broke and is not reparable.  So now though I was trying to save the environment with my purchase of this water bottle, I now have to add it to the trash going out the door."
617,Nattali,It gets the job done.,5.0 out of 5 stars,"  It is great for school, easy to carry, no issues. If you liked what you saw in Iron Man 2, get this bottle."
618,April M. Steenburgh,Good design,3.0 out of 5 stars,"  I enjoyed the handle on the bottle, and it was pleasant and easy to drunk from. It was perfect for long work days. I did drop the bottle once and it cracked. So, excellent design, but not very durable."
